# census-verdicts.tsv — FROZEN VERDICTS: what the branch↔roadmap matcher answers for each
# of the 205 governed branches this repository ever had, against census-roadmaps.txt.
#
# Population (measured 2026-09-26): the union of
#   gh pr list --state all --limit 600 --json headRefName   (feat/ fix/ refactor/ only)
#   git branch -a                                           (local + origin, same prefixes)
# = 205 distinct branch names. Frozen for the same reason as the roadmap list: neither `gh`
# nor the reflog is reachable from a CI checkout, and a corpus the CI cannot reach is a
# corpus that does not exist.
#
# Format: <branch>\t<verdict>\t<arm>
#   verdict = accept | block   — `accept` means `trackfw branch new --dry-run <branch>`
#                                prints "would create"; `block` means "would block".
#   arm     = substring | tokens | none
#             substring = accepted by the HISTORICAL arm (strings.Contains), i.e. it already
#                         passed before ML-3A. 176 branches.
#             tokens    = accepted ONLY by the new token-overlap arm — these 14 are exactly
#                         the branches ML-3A's change repaired. Measured by rebuilding with
#                         branchRoadmapMinSharedTokens=99 (token arm dead) and diffing.
#             none      = rejected by both arms. 15 branches.
#
# 🔴 THE 15 `block` ROWS ARE NOT A BUG — DO NOT "FIX" THEM BY LOWERING THE THRESHOLD.
# strings.Contains rejected 29 of the 205 (14%, ML-3A census). The token arm closes 14 of
# them; these 15 are the measured residual. They are pre-governance branches whose title
# shares fewer than 2 content tokens of 3+ chars with any roadmap in the corpus (e.g.
# feat/agents-command against ROADMAP-…-agent-rules-inject-…). At N=1 ALL 205 are accepted —
# the relation stops discriminating entirely — which is exactly the floor that forced N=2.
# Widening the threshold to accept these 15 destroys the rule, it does not fix the corpus.
#
# Arithmetic that ties these numbers to the ML-3A audit, independent of this file:
#   205 total − 29 rejected by Contains = 176 substring
#   29 rejected − 14 repaired by tokens = 15 block
# Both identities are re-derived by the gate's self-test from a substring-only build.
feat/adr-new-com-escopo-global-scope-global-escrevendo-em-trackfw-adr	accept	substring
feat/adr-wizard-e-list	accept	substring
feat/agentes-especialistas-aceitam-contexto-de-convencoes	accept	substring
feat/agents-command	block	none
feat/agents-skills-lifecycle-multi-cli	accept	substring
feat/analyzing-state-ml-status-rules	accept	substring
feat/antigravity-agent-tools	accept	substring
feat/architect-command-guidelines	accept	substring
feat/attention-hooks-agent-clis	accept	substring
feat/barrier-aceita-wave-com-sufixo-bis	accept	substring
feat/barrier-governanca-e-autoridade-do-orquestrador	accept	substring
feat/bloqueio-tecnico-de-comandos-git-brutos	accept	substring
feat/branch-prune-com-dry-run-por-padrao-e-heuristica-de-arquivos-tocados	accept	substring
feat/caminho-governado-para-push-forcado-e-tag-de-release	accept	substring
feat/codex-agent-integrations	block	none
feat/comando-que-audita-a-superficie-executavel-de-um-checkout-de-pr	accept	substring
feat/comando-trackfw-branch-new-para-bloquear-criacao-de-branch-sem-req-roadmap-em-wip	accept	substring
feat/comando-trackfw-changelog	accept	substring
feat/comando-trackfw-ship-agnostico-de-forge	accept	substring
feat/compatibilidade-com-opencode-opencode-ai-para-uso-de-modelos-open-source	accept	substring
feat/conectar-adrs-globais-aos-agentes-auto-registro-em-adr-dirs-via-update-e-escolha-local-global-ao-criar-adr-de-req	accept	substring
feat/contrato-canonico-do-roadmap-e-estado-analyzing	accept	substring
feat/contrato-pinado-no-cli-parity-sem-gate-nomeado	accept	substring
feat/convergencia-do-harness-pessoal-para-o-trackfw	accept	substring
feat/convergir-o-comando-status-dos-tres-clis-num-formato-unico	accept	substring
feat/credential-guard-modo-block-por-padrao-cobertura-de-read-write-e-resolucao-de-arquivo-referenciado	accept	substring
feat/detectar-adr-nao-aceito-referenciado-por-req-concluida	accept	substring
feat/discover-init-hook-autoinstall	accept	substring
feat/doctor-cobre-artefatos-de-scaffold	accept	substring
feat/doctor-detecta-artefato-fora-do-manifesto	accept	substring
feat/gate-pre-trabalho-e-husky-node	accept	tokens
feat/gates-para-os-tres-contratos-de-maior-risco	accept	substring
feat/global-adrs-governance	accept	substring
feat/global-skill	block	none
feat/guard-emite-hookspecificoutput-e-a-razao-chega-ao-modelo-nos-3-clis	accept	substring
feat/hooks-de-credential-guard-como-escopo-global-cross-project-via-trackfw-update-harness	accept	substring
feat/hooks-de-guarda-contra-materializacao-de-credenciais	accept	substring
feat/identidade-humanizada-agentes	accept	substring
feat/instalacao-de-skills-de-terceiro-via-url-para-agentes-especialistas	accept	substring
feat/job-parity-do-ci-so-roda-4-de-14-scripts-do-make-parity-falsificacao-e-identity-parity-nunca-rodam-em-ci	accept	substring
